✨ Hold at least 10 MUNDI token ✨ Share an extra $10,000 in MUNDI!	
Address	MUNDI Reward
Hrx8JZshze8xuEHJiRWQYsAcpqaS1ZC1S6AKVhwrLfVy	250
Dk3UH55Qi6rpzXNFzAjnqRWPmgbu5zdqBEsg9VpMf3eL	250
FCYdiWpsyS4ZfGaGC9UAYSZGSoCnbd4iDwbc2qpvCCaY	250
EWy7xavFTwiMU5Lr7iFHLpdyJxGPHwCht9RQoBt65VnG	250
2xtyC4zdP6e2CNnTgGmo3EfgLL3xggXUyCLUusEyYJzV	250
3oaLMJWb5bPYzKj8P1LEcxcSGoCmghHP4Edv7ffD3rj1	250
A7jfePKEyXsWn2pw3FwnzHUG8BXY4ZgcsvA5yfDsEUbJ	250
BpbKLWZRfDaSCidTimEZD8tEkkeGcxESuVeLFbMEodqk	250
8QcCcr2YcyJA4LsCiE2py2pWc4yYprNrJpW38qP87Gbc	250
41ihxxy7QjPn5592gpzrKbFMBY4zUwUFiGK7giujA92M	250
EWAyJ6ZA6oCs1tXTSErbCdCiBLc6vE9sbKSG2akMAQ6x	250
5RXBxfGNpD21Doa8pNoXjPcs25kwNaVz8aRNB1GCFVbx	250
B9bmjim3KxKq4uSPAXQxAJDVWrQxoKqBphK3FkDJHUqA	250
7P8WyHXYAN4KKMwUmpRjcBdBQjitsHCBVgp94wwZU1xU	250
EwwM4ceEtay3z2xf4h7BpbGAyn1chkNVdiZG3QVs18A	250
7EeT7NkYefrrxhP9WZRp2MeiwJsA7WFR9noZBk2fsr4W	250
EN5XpDrwRDM6RZM53uviALUKndGbwrmWzQTVuaeL9CM5	250
7YH7V3CiqCKa3GtiywnX5sip5nox7a3NXJ1BJGCwN32B	250
BojwhiVKg983UrDPus4j6WeRAKAsCtMVnaPraSatngZ3	250
vn2MwGuk6FVDjJVuiPa51s6F2ytWzXMmsrrwLsYDB2b	250
BVH1v1B6kP7aSahAFLrENs1JzchdQMw19XkCj1kBVf83	250
7dU3kAvPiFhxjqUkELx3A2R39yCZypUfVFEYv8724EcX	250
841VjGwsVdqUtwttmyWD6dzhBZq1zDXfrAnHfMVm7Nas	250
Fkotmu8GLGVckpTa9FHd5TbYkoB8jbWwpihAaCnQ8n9v	250
DBoaTiYc4ifk9bCBCa8vGTcrtRswziUNx24HJARFFVG4	250
8kFdTfHWzCaCaNLrP2tSCDWr7mD6yeHYP8h4vMqsqBxb	250
HPHonxGdkGCwdypc7nQwrUpQcGDcojvztQzCcbmRUf2v	250
6n8ME9ZgX1YUK2Ysi32wC31uSpooCokiYfsRxYiyybry	250
2wcnKfxwTqT9VdWuzK8dddyE894Z38LdoMrXsdvfh4jJ	250
Gdkn4ue6dJ6ta2bXPiX4poyDVmiHwjJrqWAZ3BHGqHdB	250
4EeigqTtmGCFKMo5gBzpjJNa2ZGMMGwkeMCGXEFrFdAJ	250
CjgVPST4QwzXrE9cXqAixCYDumkrSExNXmThme7yguEa	250
4FbDHJAEL2qwJCu4Tjs25fw5ew49H1DZ9jRgd4uGpcVf	250
2PyfsrRzb6233zqPtsYSNCAJ42Wrzokzcq1NGJ5XwGkS	250
Bd5xnRH3QtWdwB2ckA2A7osY1NcNagfL7A5MS9usbC6D	250
AVHKNJYAHamUTu88TxjEeW61VAt2FUPdiMdRTRuoBvDY	250
BvHjFNqMKPYHnX4XmMqAEsNBhoo2jPFp6j6smAnde2Zr	250
GvPHUHq72SVvsBxrUSrm6QKJKZqp3BZyUJdTWV5HDz3G	250
3Bpan32yqaasho7hC7wV8D9vunBsm9k7X9WruM78yR7w	250
8dR7Zq47DjN5uK2WrZBEF8g4oyf2EJ2N3wJ5uPo1NM7	250
A7UfZQMXYH6xuvi3Ne5j92hdgn1YimmUFqENy2E3nedo	250
2zXdECTteqBzuYBPsJiwTdBsHtYxgALKP9F6u5ddedMV	250
3VkpXgcqQZTH3ZP4w3MgVxX8hwpyU7CZ9wnRx5nMwHme	250
FCwLhhyRjAsrz57V4VpYPi5JjESQw1QaYttDd5stQndH	250
7CpRAQe4qmdwYRcbPZBvzEP1JUT82SjxpVKpWw9pu7Cv	250
BCGZVrTxy7TYTYqWcteK5F19su2NtVcW5zRyaDcAgprg	250
EFC5rSvX3krvNBEK69eyLAsMk7jK33nPZTNmZXBD1z2B	250
CEPEpd7YUs6y9abZnxY7jGri1qc9RZc2F7EQUGYGFDso	250
65kn9FYmsk57bCA8Cd5DWzZdDPpwpCgBCWn9fiE46EPm	250
wPthnVmVg9gF5xqgH7bwAooWhBN2cfq1WixQUVVg5cA	250
ArnHmVSb6emAoVn39VQuaPeM7gLhb1Vf9n5WrjkE9wVe	250
3qNjTsLGQuCCMeYYyTyGxhN1dy7WJc7QEN1XPfnxyCL8	250
9ufq9vgYFgCCd49j7LvrHZPpsYy3jwm5xz3hw4h4cysH	250
7gZF6ssBg8BsF4fHpU1YGiTKyHVancfAC9oJ5GCh8XXC	250
DUCKGswfBDqWhccLpfLzjbvhgxvMcpCr2iV5Ju8BeFzM	250
